tracking_id,entry_time,exit_time,total_duration_sec,category_showroom,zoneA_duration_sec,zoneB_duration_sec,zoneC_duration_sec
s1_201,2026-03-13 13:50:02,2026-03-13 13:50:10,8.64,bounce_off,2.3,0.0,0.0
s1_197,2026-03-13 13:49:57,2026-03-13 13:50:13,15.25,bounce_off,0.0,0.0,0.0
s1_212,2026-03-13 13:50:14,2026-03-13 13:50:21,6.99,bounce_off,0.0,0.0,0.0
s1_208,2026-03-13 13:50:10,2026-03-13 13:50:23,13.17,bounce_off,0.0,0.0,0.0
s1_206,2026-03-13 13:50:08,2026-03-13 13:50:26,17.93,bounce_off,0.0,0.0,0.0
s1_217,2026-03-13 13:50:26,2026-03-13 13:50:34,8.11,bounce_off,0.0,0.0,0.0
s1_223,2026-03-13 13:50:38,2026-03-13 13:50:42,4.48,bounce_off,0.0,0.0,0.0
s1_224,2026-03-13 13:50:38,2026-03-13 13:50:48,9.47,bounce_off,0.0,0.0,0.0
s1_227,2026-03-13 13:50:41,2026-03-13 13:50:52,11.35,bounce_off,0.0,0.0,0.0
s1_230,2026-03-13 13:50:44,2026-03-13 13:50:58,14.41,bounce_off,9.45,0.0,0.0
s1_237,2026-03-13 13:51:00,2026-03-13 13:51:03,3.1,bounce_off,0.0,0.0,0.0
s1_209,2026-03-13 13:50:10,2026-03-13 13:51:24,73.92,engager,62.93,0.0,0.0
s1_199,2026-03-13 13:50:00,2026-03-13 13:51:27,87.54,engager,57.31,0.0,0.0
s1_252,2026-03-13 13:51:28,2026-03-13 13:51:30,2.01,bounce_off,0.0,0.0,0.0
s1_247,2026-03-13 13:51:24,2026-03-13 13:51:34,10.18,bounce_off,4.08,0.0,0.0
s1_257,2026-03-13 13:51:31,2026-03-13 13:51:35,4.54,bounce_off,0.0,0.0,0.0
s1_256,2026-03-13 13:51:30,2026-03-13 13:51:39,8.58,bounce_off,0.0,0.0,0.0
s1_254,2026-03-13 13:51:29,2026-03-13 13:51:39,10.41,bounce_off,0.0,0.0,0.0
s1_269,2026-03-13 13:51:49,2026-03-13 13:51:52,2.61,bounce_off,0.0,0.0,0.0
s1_266,2026-03-13 13:51:46,2026-03-13 13:51:52,5.84,bounce_off,0.0,0.0,0.0
s1_258,2026-03-13 13:51:33,2026-03-13 13:51:52,19.7,bounce_off,0.91,0.0,0.0
s1_264,2026-03-13 13:51:44,2026-03-13 13:51:53,9.49,bounce_off,0.43,0.0,0.0
s1_270,2026-03-13 13:51:52,2026-03-13 13:52:06,13.93,bounce_off,5.29,0.0,0.0
s1_277,2026-03-13 13:52:03,2026-03-13 13:52:06,2.49,bounce_off,1.55,0.0,0.0
s1_278,2026-03-13 13:52:04,2026-03-13 13:52:10,6.43,bounce_off,0.0,0.0,0.0
s1_268,2026-03-13 13:51:49,2026-03-13 13:52:16,26.53,bounce_off,0.0,0.0,0.0
s1_279,2026-03-13 13:52:06,2026-03-13 13:52:16,9.73,bounce_off,3.9,0.0,0.0
s1_282,2026-03-13 13:52:16,2026-03-13 13:52:20,4.3,bounce_off,4.82,0.0,0.0
s1_284,2026-03-13 13:52:19,2026-03-13 13:52:24,4.58,bounce_off,0.77,0.0,0.0
s1_239,2026-03-13 13:51:03,2026-03-13 13:52:32,89.04,engager,45.17,0.0,0.0
s1_286,2026-03-13 13:52:20,2026-03-13 13:52:39,18.46,bounce_off,10.98,0.0,0.0
s1_294,2026-03-13 13:52:36,2026-03-13 13:52:39,2.77,bounce_off,0.72,0.0,0.0
s1_295,2026-03-13 13:52:37,2026-03-13 13:52:41,3.72,bounce_off,4.24,0.0,0.0
s1_243,2026-03-13 13:51:14,2026-03-13 13:52:43,88.98,engager,85.5,0.0,0.0
s1_287,2026-03-13 13:52:24,2026-03-13 13:52:47,23.52,bounce_off,12.87,0.0,0.0
s1_302,2026-03-13 13:52:44,2026-03-13 13:52:49,4.47,bounce_off,0.0,0.0,0.0
s1_297,2026-03-13 13:52:39,2026-03-13 13:52:49,10.45,bounce_off,7.5,0.0,0.0
s1_304,2026-03-13 13:52:46,2026-03-13 13:52:49,3.15,bounce_off,0.0,0.0,0.0
s1_291,2026-03-13 13:52:31,2026-03-13 13:52:55,23.9,bounce_off,0.0,0.0,0.0
s1_305,2026-03-13 13:52:51,2026-03-13 13:53:02,10.52,bounce_off,0.0,0.0,0.0
s1_307,2026-03-13 13:52:58,2026-03-13 13:53:02,3.14,bounce_off,0.0,0.0,0.0
s2_9,2026-03-13 14:16:31,2026-03-13 14:16:37,5.77,bounce_off,0.0,0.0,0.0
s2_10,2026-03-13 14:16:31,2026-03-13 14:16:40,9.26,bounce_off,2.33,0.0,0.0
s2_7,2026-03-13 14:16:31,2026-03-13 14:16:52,20.8,bounce_off,0.0,0.0,0.0
s2_8,2026-03-13 14:16:31,2026-03-13 14:17:07,35.71,engager,32.11,0.0,0.0
s2_17,2026-03-13 14:17:03,2026-03-13 14:17:10,7.24,bounce_off,4.09,0.0,0.0
s2_14,2026-03-13 14:16:49,2026-03-13 14:17:12,22.86,bounce_off,5.55,0.0,0.0
s2_27,2026-03-13 14:17:17,2026-03-13 14:17:21,4.23,bounce_off,4.74,0.0,0.0
s2_26,2026-03-13 14:17:17,2026-03-13 14:17:21,4.31,bounce_off,0.56,0.0,0.0
